source;target;weight
Paszkiewicz Regina;Gładysiewicz Marta;1
Paszkiewicz Regina;Helak Z.;2
Paszkiewicz Regina;Bielak Katarzyna;1
Paszkiewicz Regina;Markiewicz P.;2
Paszkiewicz Regina;Latkowska Magdalena;2
Paszkiewicz Regina;Sitarek Piotr;12
Paszkiewicz Regina;Boratýnski Bogusław S.;2
Paszkiewicz Regina;Janicki L.;1
Paszkiewicz Regina;Taczaa M.;1
Paszkiewicz Regina;Piasecki M.;5
Paszkiewicz Regina;Tarnowski Karol;1
Paszkiewicz Regina;Indykiewicz Kornelia;4
Paszkiewicz Regina;Radziewicz Damian;12
Paszkiewicz Regina;Stafiniak Andrzej;8
Paszkiewicz Regina;Moraw Michal;2
Paszkiewicz Regina;Andrzejewski Przemyslaw;2
Paszkiewicz Regina;Boratynski J.;7
Paszkiewicz Regina;Ptasiński Konrad;1
Paszkiewicz Regina;Salejda WŁodzimierz;1
Paszkiewicz Regina;Paszkiewicz Regina;79
Paszkiewicz Regina;Kozłowski Janusz;29
Paszkiewicz Regina;Kudrawiec Robert;8
Paszkiewicz Regina;Paszkiewicz Bogdan;70
Paszkiewicz Regina;Augustyniak Ireneusz;1
Paszkiewicz Regina;Klauzer-Kruszyna Agnieszka;1
Paszkiewicz Regina;Dawidowski Wojciech;4
Paszkiewicz Regina;Łasisz St;2
Paszkiewicz Regina;Tshaldyshev V. V.;2
Paszkiewicz Regina;Obłak Michał;2
Paszkiewicz Regina;MacHerzyński Wojciech;14
Paszkiewicz Regina;Kośnikowski Wojciech;5
Paszkiewicz Regina;Ściana Beata;7
Paszkiewicz Regina;Szeloch Roman F.;1
Paszkiewicz Regina;Tiaczala Marek;5
Paszkiewicz Regina;Szyszka Adam;27
Paszkiewicz Regina;Korbutowicz Ryszard;31
Paszkiewicz Regina;Podhorodecki Artur P.;2
Paszkiewicz Regina;Ramiczek-Krasowska Maria;1
Paszkiewicz Regina;Pucicki Damian;1
Paszkiewicz Regina;Pražmowska Joanna;15
Paszkiewicz Regina;PopioŁek-Masajada Agnieszka;1
Paszkiewicz Regina;Mazur Michalł;2
Paszkiewicz Regina;Tyc Michał H.;1
Paszkiewicz Regina;Misiewicz Jan;1
Paszkiewicz Regina;Barycka Irena;1
Paszkiewicz Regina;Patela Segiusz;4
Paszkiewicz Regina;Bczyńskidro Sławomir;1
Paszkiewicz Regina;Jezierski Krzysztof;3
Paszkiewicz Regina;Los Kornelia;1
Paszkiewicz Regina;Nitsch Karol;8
Paszkiewicz Regina;Czarczyński Wojciech;2
Paszkiewicz Regina;Masajada Jan;1
Paszkiewicz Regina;Ramia̧czek-Krasowska Maria;3
Wylomańska Agnieszka;Kruczek Piotr;24
Wylomańska Agnieszka;Kucharczyk Daniel;7
Wylomańska Agnieszka;Iskander D. Robert;3
Wylomańska Agnieszka;Nowicka-Zagrajek Joanna;22
Wylomańska Agnieszka;Przylibski Tadeusz Andrzej;6
Wylomańska Agnieszka;Szajowski Krzysztof;1
Wylomańska Agnieszka;Mydlarczyk Wojciech;2
Wylomańska Agnieszka;͆lęzak Jakub K.;1
Wylomańska Agnieszka;Kirjanów Agata;1
Wylomańska Agnieszka;Ślȩzak Jakub Karol;1
Wylomańska Agnieszka;Weron Karina;33
Wylomańska Agnieszka;͆lc¸zak Jakub;1
Wylomańska Agnieszka;MacIejewska Monika;17
Wylomańska Agnieszka;Drobczyński Sławomir;1
Wylomańska Agnieszka;Jurlewicz Agnieszka;8
Wylomańska Agnieszka;Milczarek W.;1
Wylomańska Agnieszka;Burnecki Krzysztof;53
Wylomańska Agnieszka;Szmigiel Marta A.;1
Wylomańska Agnieszka;Orzeł Sebastian;24
Wylomańska Agnieszka;Rejman Aleksander;2
Wylomańska Agnieszka;Przybylowicz Beata;1
Wylomańska Agnieszka;Trzmiel Justyna;1
Wylomańska Agnieszka;Hetman Paulina;1
Wylomańska Agnieszka;Blachowski Jan;1
Wylomańska Agnieszka;Gładysiewicz Lech;2
Wylomańska Agnieszka;Wȩglarz Magdalena;1
Wylomańska Agnieszka;Zimroz Radoslaw;102
Wylomańska Agnieszka;Janic-Wróblewska Alicja;1
Wylomańska Agnieszka;Balcerek Michał;4
Wylomańska Agnieszka;Teuerle Marek;27
Wylomańska Agnieszka;Kozłowski Tomasz;1
Wylomańska Agnieszka;Zorawik Tomasz;1
Wylomańska Agnieszka;Król Robert;2
Wylomańska Agnieszka;Zdunek Rafał;14
Wylomańska Agnieszka;Malko Jacek;1
Wylomańska Agnieszka;Grzesiek Aleksandra;1
Wylomańska Agnieszka;Hebda-Sobkowicz Justyna;2
Wylomańska Agnieszka;Ropuszyńska-Surma Edyta;1
Wylomańska Agnieszka;Kasprzak Henryk T.;1
Wylomańska Agnieszka;Kisielewski Waldemar;2
Wylomańska Agnieszka;Magdziarz Marcin;40
Wylomańska Agnieszka;Kawalec W.;1
Wylomańska Agnieszka;Bajda Mirosław;1
Wylomańska Agnieszka;Wodecki Jacek;27
Wylomańska Agnieszka;Hossa Robert;13
Wylomańska Agnieszka;Kotulski Marcin;1
Wylomańska Agnieszka;Mercik Szymon;6
Wylomańska Agnieszka;Danielewska Monika E.;1
Wylomańska Agnieszka;Zubrzak Bartłomiej;3
Wylomańska Agnieszka;Szczurek Andrzej;17
Wylomańska Agnieszka;Sokołowski Jakub;8
Wylomańska Agnieszka;Weron Rafał;34
Wylomańska Agnieszka;Borgosz-Koczwara Magdalena;1
Wylomańska Agnieszka;Janczura Joanna;67
Wylomańska Agnieszka;Nowicka Joanna;9
Wylomańska Agnieszka;Błażej Ryszard;2
Wylomańska Agnieszka;Weron Aleksander;49
Wylomańska Agnieszka;Szabat Bozena;1
Wylomańska Agnieszka;Hardygóra Monika;5
Wylomańska Agnieszka;Michalak Anna;11
Wylomańska Agnieszka;Makowski Ryszard A.;49
Wylomańska Agnieszka;Muszkieta Monika;1
Wylomańska Agnieszka;Fijałkowska-Lichwa Lidia;6
Wylomańska Agnieszka;Połoczański Rafał;10
Wylomańska Agnieszka;Fijatkowska-Lichwa Lidia;1
