"source","target","weight"
"Jedryczko Dominika","Prusisz Bartłomiej","2"
"Stelmach Ewelina","Prusisz Bartłomiej","4"
"Stecka Helena","Prusisz Bartłomiej","7"
"Dzimitrowicz Anna","Prusisz Bartłomiej","1"
"Jermakowicz-Bartkowiak Dorota","Prusisz Bartłomiej","1"
"Szymczycha Anna","Prusisz Bartłomiej","9"
"Wełna Maja","Prusisz Bartłomiej","7"
"Saeid Agnieszka","Prusisz Bartłomiej","1"
"Trochimczuk Andrzej W.","Prusisz Bartłomiej","1"
"Michalak Izabela","Prusisz Bartłomiej","1"
"Pohl Pawel","Borkowska-Burnecka Jolanta","1"
"Pohl Pawel","Zyrnicki Wieslaw","11"
"Pohl Pawel","Dzimitrowicz Anna","31"
"Pohl Pawel","Żyrnicki Wieslław","57"
"Pohl Pawel","Bryjak M.","7"
"Pohl Pawel","Stelmach Ewelina","18"
"Pohl Pawel","Cierlik Agata","1"
"Pohl Pawel","Bojszczak Wojciech","1"
"Pohl Pawel","Klimpel Monika","1"
"Pohl Pawel","Kurcbach Konrad","4"
"Pohl Pawel","Samoc M.","1"
"Pohl Pawel","Stecka Helena","16"
"Pohl Pawel","Terefinko Dominik","6"
"Pohl Pawel","Winiarski Juliusz","1"
"Pohl Pawel","Kujawska Małgorzata","4"
"Pohl Pawel","Winiarska Katarzyna","1"
"Pohl Pawel","Wolska Joanna A.","6"
"Pohl Pawel","Klekotko Magdalena","1"
"Pohl Pawel","Les̈niewicz Anna","13"
"Pohl Pawel","Sawiński Wojciech","1"
"Pohl Pawel","Malik-Gajewska Magdalena","1"
"Pohl Pawel","Bastrzyk Anna","1"
"Pohl Pawel","Pogoda Dorota","8"
"Pohl Pawel","Olesiak-Bańska Joanna","1"
"Pohl Pawel","Lasowska Joanna","5"
"Pohl Pawel","Bogdal Zaneta","2"
"Pohl Pawel","Kolarz Boz̊ena N.","4"
"Pohl Pawel","Ochromowicz Katarzyna","3"
"Pohl Pawel","Szczygieł Bogdan","1"
"Pohl Pawel","Pohl Pawel","117"
"Pohl Pawel","Grȩda Krzysztof","43"
"Pohl Pawel","Ulatowska Justyna","1"
"Pohl Pawel","Nyk Marcin","18"
"Pohl Pawel","Jedryczko Dominika","13"
"Pohl Pawel","Gordel Marta","1"
"Pohl Pawel","Polowczyk Izabela","7"
"Pohl Pawel","Wełna Maja","39"
"Pohl Pawel","Swiderski Krzysztof","13"
"Pohl Pawel","Szymczycha Anna","33"
"Pohl Pawel","Kafarski Paweł","1"
"Pohl Pawel","Kawałko Jarosław","2"
"Pohl Pawel","Gorska Monika","1"
"Pohl Pawel","Jamróz Piotr","60"
"Pohl Pawel","MacIoszczyk Jan","6"
"Pohl Pawel","Jermakowicz-Bartkowiak Dorota","10"
"Pohl Pawel","Nowak Piotr","8"
"Pohl Pawel","Koźlecki Tomasz","8"
"Pohl Pawel","Marcinowska Anna","2"
"Pohl Pawel","Drożdżewski Piotr M.","1"
"Pohl Pawel","Apostoluk Wiesław S.","1"
"Pohl Pawel","Chȩcmanowski Jacek Grzegorz","8"
"Pohl Pawel","Włodarczyk Magdalena","5"
"Pohl Pawel","Tylus W.","3"
"Pohl Pawel","Cyganowski Piotr","11"
"Bojszczak Wojciech","Pohl Pawel","1"
"Nowak Piotr","Pohl Pawel","2"
"Kurcbach Konrad","Pohl Pawel","2"
"Matusiak Tomasz","Pohl Pawel","2"
"Pieprz Mateusz","Pohl Pawel","1"
"Terefinko Dominik","Pohl Pawel","4"
"Swiderski Krzysztof","Pohl Pawel","6"
"MacIoszczyk Jan","Pohl Pawel","4"
"Chȩcmanowski Jacek Grzegorz","Pohl Pawel","1"
"Grȩda Krzysztof","Pohl Pawel","25"
"Winiarski Juliusz","Pohl Pawel","3"
"Cyganowski Piotr","Pohl Pawel","15"
"Koźlecki Tomasz","Pohl Pawel","3"
"Szczygieł Bogdan","Pohl Pawel","2"
"Jamróz Piotr","Pohl Pawel","61"
"Malecha Karol","Pohl Pawel","1"
"Tylus W.","Pohl Pawel","2"
"Nyk Marcin","Pohl Pawel","5"
"Żyrnicki Wieslław","Pohl Pawel","8"
"Gołonka Leszek J.","Pohl Pawel","4"
"Kafarski Paweł","Pohl Pawel","1"
"Lasowska Joanna","Pohl Pawel","1"
"Grzesiak Magdalena","Pohl Pawel","1"
"Cierlik Agata","Pohl Pawel","1"
"Gorska Monika","Pohl Pawel","1"
"Cwiklinska Agnieszka","Pohl Pawel","1"
"Rzegocka Malgorzata","Pohl Pawel","1"
"Baszczynska Aleksandra","Pohl Pawel","1"
"Pogoda Dorota","Pohl Pawel","2"
"Jedryczko Dominika","Pohl Pawel","8"
"Stelmach Ewelina","Pohl Pawel","10"
"Stecka Helena","Pohl Pawel","11"
"Ochromowicz Katarzyna","Pohl Pawel","1"
"Winiarska Katarzyna","Pohl Pawel","1"
"Da̧browski Arkadiusz P.","Pohl Pawel","1"
"Malik-Gajewska Magdalena","Pohl Pawel","1"
"Suchorska-Wozniak Patrycja","Pohl Pawel","1"
"Rac-Rumijowska Olga","Pohl Pawel","1"
"Wolska Joanna A.","Pohl Pawel","2"
"Les̈niewicz Anna","Pohl Pawel","9"
"Borkowska-Burnecka Jolanta","Pohl Pawel","2"
"Dzimitrowicz Anna","Pohl Pawel","35"
"Jermakowicz-Bartkowiak Dorota","Pohl Pawel","11"
"Polowczyk Izabela","Pohl Pawel","1"
"Maliszewska Irena H.","Pohl Pawel","1"
"Szymczycha Anna","Pohl Pawel","42"
"Wełna Maja","Pohl Pawel","44"
"Saeid Agnieszka","Pohl Pawel","1"
"Teterycz Helena","Pohl Pawel","1"
"Michalak Izabela","Pohl Pawel","1"
"Chojnacka Katarzyna","Chojnacka Katarzyna","5"
"Kwašnicki R.","Chojnacka Katarzyna","1"
"Izydorczyk Grzegorz","Chojnacka Katarzyna","1"
"Skrzypczak Dawid","Chojnacka Katarzyna","1"
"Samoraj Mateusz","Chojnacka Katarzyna","4"
"Tuhy Łukasz","Chojnacka Katarzyna","4"
"Kocek Daria","Chojnacka Katarzyna","1"
"Mikula Katarzyna","Chojnacka Katarzyna","1"
"Barańska Marzanna","Chojnacka Katarzyna","1"
"Wyciszkiewicz Małgorzata","Chojnacka Katarzyna","1"
"Baśladyńska Sylwia","Chojnacka Katarzyna","2"
"Mironiuk Małgorzata","Chojnacka Katarzyna","1"
"Witkowska Zuzanna","Chojnacka Katarzyna","6"
"Podstawczyk Daria Anna","Chojnacka Katarzyna","1"
"Witek-Krowiak Anna","Chojnacka Katarzyna","3"
"Saeid Agnieszka","Chojnacka Katarzyna","20"
"Michalak Izabela","Chojnacka Katarzyna","26"
"Barańska Marzanna","Baśladyńska Sylwia","1"
"Barańska Marzanna","Artmańska Małgorzata","2"
"Barańska Marzanna","Biegańska Sylwia","1"
"Barańska Marzanna","Matynia Andrzej","1"
"Barańska Marzanna","Barańska Marzanna","4"
"Biegańska Sylwia","Barańska Marzanna","1"
"Artmańska Małgorzata","Barańska Marzanna","3"
"Baśladyńska Sylwia","Barańska Marzanna","2"
"Mironiuk Małgorzata","Barańska Marzanna","1"
"Witek-Krowiak Anna","Barańska Marzanna","1"
"Saeid Agnieszka","Barańska Marzanna","1"
"Michalak Izabela","Barańska Marzanna","1"
"Szymkowski Janusz","WoŁowiec Paulina","1"
"Szymkowski Janusz","Saeid Agnieszka","1"
"Zwolski C. E Jaroslaw","Szymkowski Janusz","1"
"Bien P. E Jan","Szymkowski Janusz","1"
